id,name,description,category,Immnity,Robustness,Focus,Vitality,Poise,weight
17f69b16a3dl0i0o66ah0178yiaqiq,Alberich's Bracers,Mad Tongue Alberich's bracers.,Gauntlets,13,8,22,24,0,1.4
17f69377b19l0i0ol1swx6o1hyi35o,Alberich's Pointed Hat,"Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner.",Helm,16,10,29,31,0,1.7
17f694c1311l0i0ol1qo5xm03vrgok,Alberich's Pointed Hat (altered),Lighter version of the Alberich's Pointed Hat.,Helm,12,7,0,24,0,1
17f6995f6eal0i0nc3hn7d7pl7mx,Alberich's Robe,Mad Tongue Alberich's robe.,Chest Armor,38,23,67,71,1,4.1
17f696221c3l0i0nbrxr4gcdi7uag,Alberich's Robe (altered),Lighter version of the Mad Tongue Alberich's robe.,Chest Armor,32,19,0,61,0,3.2
17f695b346dl0i0pf3f1fg240whfqc,Alberich's Trousers,Mad Tongue Alberich's trousers.,Leg Armor,26,14,41,44,1,2.5
17f69515b49l0i0nbno079cqzlskebf,All-knowing Armor,"Armor set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be.",Chest Armor,28,46,21,21,16,10.6
17f69b8efedl0i0nbtfdfkxtl7iqc,All-knowing Armor (altered),Lighter version of the All-knowing Armor.,Chest Armor,22,38,0,16,0,9.3
17f6984f152l0i0nc38cztqhxqc6rw,All-knowing Gauntlets,"Gauntlets set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be.",Gauntlets,9,15,7,7,4,3.5
17f696e0685l0i0nblzy58h0qvewk,All-knowing Greaves,"Greaves set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be.",Leg Armor,17,29,13,13,10,6.6
17f69751613l0i0nbp9nsdqjza4rxf,All-knowing Helm,"Helm set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be.",Helm,12,20,9,9,5,4.6
17f6947003bl0i0pf3kslr4ap1hce,Aristocrat Boots,"Boots made from tanned leather. Travel attire worn by nobles in the capital. Abandoning their birthplace after the shattering, these undead wanderers are the pitiful product of unending life.",Leg Armor,29,21,0,19,0,2.9
17f69623cf1l0i0nbutr05ucarsvt,Aristocrat Coat,"Tanned leather coat adorned with fine gold embroidery. Travel attire worn by nobles in the capital, and the belonging of a family which claims a knight as an ancestor. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",Chest Armor,50,32,42,46,3,7.1
